source: en: Keeping the Secret of Genetic Testing second: Giữ bí mật của xét nghiệm di truyền	en: Keeping the Secret of Genetic Testing
source: en: Thus , much thought need to put on the immediate family as it could caused a stir of unwanted events from the patient or the family members itself . second: Do đó, cần phải suy nghĩ nhiều về gia đình trực tiếp vì nó có thể gây ra một sự khuấy động của các sự kiện không mong muốn từ bệnh nhân hoặc chính các thành viên trong gia đình.	en: Thus , much thought need to put on the immediate family as it could caused a stir of unwanted events from the patient or the family members itself .
source: en: Some family may feel hurt , with regards to their family pride or reputation , on having the knowledge of such genetic disorder running in their family . second: Một số gia đình có thể cảm thấy tổn thương, liên quan đến danh dự hoặc danh dự của gia đình họ, khi biết về những rối loạn di truyền như vậy đang diễn ra trong gia đình họ.	en: Some family may feel hurt , with regards to their family pride or reputation , on having the knowledge of such genetic disorder running in their family .
source: en: However , there is a role and a sense of responsibility to inform their relatives since it is a genetic disorder . second: Tuy nhiên, có một vai trò và trách nhiệm để thông báo cho người thân của họ vì đây là một rối loạn di truyền.	en: However , there is a role and a sense of responsibility to inform their relatives since it is a genetic disorder .
source: en: There might be a possibility that the genetic disorder could also affect their relatives and any other families within the same family tree . second: Có khả năng là rối loạn di truyền cũng có thể ảnh hưởng đến người thân và bất kỳ gia đình nào khác trong cùng một cây phả hệ.	en: There might be a possibility that the genetic disorder could also affect their relatives and any other families within the same family tree .
source: en: The importance of informing relatives of such genetic disease is vital as it may help to raise awareness and prevention towards the genetic disorder . second: Việc thông báo cho người thân về bệnh di truyền này là rất quan trọng vì nó có thể giúp nâng cao nhận thức và phòng ngừa đối với rối loạn di truyền.	en: The importance of informing relatives of such genetic disease is vital as it may help to raise awareness and prevention towards the genetic disorder .
source: en: Also , this known information will help their relatives to make informed decisions and tosimilarly undergo genetic testingto find out about the outcome . second: Ngoài ra, thông tin này sẽ giúp người thân của họ đưa ra quyết định đúng đắn và tương tự như thử nghiệm di truyền để tìm ra kết quả.	en: Also , this known information will help their relatives to make informed decisions and tosimilarly undergo genetic testingto find out about the outcome .
source: en: Thus , having the knowledge that such genetic disorder is benign would be beneficial towards their emotinal thoughts . second: Vì vậy, có kiến thức rằng rối loạn di truyền như vậy là lành tính sẽ có lợi cho suy nghĩ của họ.	en: Thus , having the knowledge that such genetic disorder is benign would be beneficial towards their emotinal thoughts .
source: en: And if the results turn out to be otherwise , then the family can be prepared emotionally and psychologically of the future outcome and aid them in making upcoming decisions . second: Và nếu kết quả không như vậy, gia đình bạn có thể được chuẩn bị về mặt cảm xúc và tâm lý cho kết quả trong tương lai và hỗ trợ họ đưa ra quyết định.	en: And if the results turn out to be otherwise , then the family can be prepared emotionally and psychologically of the future outcome and aid them in making upcoming decisions .
source: en: In addition , the genetic risk carrier would be showered with moral and emotional support from their relatives if it is been made known to them . second: Ngoài ra, người mang mầm bệnh di truyền sẽ được hỗ trợ về mặt tinh thần và cảm xúc từ những người thân của họ nếu họ được biết điều đó.	en: In addition , the genetic risk carrier would be showered with moral and emotional support from their relatives if it is been made known to them .
source: en: Having support from relatives are vital as they ensure the genetic risk carrier that he/she is not alone in facing this illness and it will certainly provide a morale boost as the whole family will share a common sentiment with regards towards the future prospect of the genetic disorder which could be inherited by anyone in the family . second: Có sự hỗ trợ từ người thân là rất quan trọng vì họ đảm bảo người mang mầm bệnh di truyền không phải là người duy nhất phải đối mặt với căn bệnh này và điều đó chắc chắn sẽ nâng cao tinh thần vì cả gia đình sẽ chia sẻ một tình cảm chung liên quan đến triển vọng tương lai của rối loạn di truyền có thể được di truyền bởi bất kỳ ai trong gia đình.	en: Having support from relatives are vital as they ensure the genetic risk carrier that he/she is not alone in facing this illness and it will certainly provide a morale boost as the whole family will share a common sentiment with regards towards the future prospect of the genetic disorder which could be inherited by anyone in the family .
source: en: Therefore , the decision to inform relatives of such genetic disorder will be dependent of the situation and backgroung of the affected family , with the liberty of choice given to them in making the decision of informing others . second: Vì vậy, quyết định thông báo cho người thân về những rối loạn di truyền như vậy sẽ phụ thuộc vào tình hình và hậu quả của gia đình bị ảnh hưởng, với sự tự do lựa chọn cho họ trong việc đưa ra quyết định thông báo cho người khác.	en: Therefore , the decision to inform relatives of such genetic disorder will be dependent of the situation and backgroung of the affected family , with the liberty of choice given to them in making the decision of informing others .
source: en: A person with a disorder , regardless of mental or physical disorder , is always easy to be awared by his or her families . second: Người mắc chứng rối loạn này, bất kể là rối loạn tâm thần hay thể chất, luôn dễ dàng nhận biết bởi gia đình của họ.	en: A person with a disorder , regardless of mental or physical disorder , is always easy to be awared by his or her families .
source: en: When things come to genetic issues , it is not that simple anymore . second: Khi mọi chuyện đến với vấn đề di truyền, nó không còn đơn giản nữa.	en: When things come to genetic issues , it is not that simple anymore .
source: en: Genetic disorder inheritance is generation by generation , but not all of the offsprings show the relevant symptoms . second: Di truyền học là di truyền qua các thế hệ, nhưng không phải tất cả các con non đều có triệu chứng liên quan.	en: Genetic disorder inheritance is generation by generation , but not all of the offsprings show the relevant symptoms .
source: en: Sometimes a family with potential genetic disorder risk may not be able to detect the potential harm inside their bodies as none of their members reflect any observable disorder symptoms . second: Đôi khi một gia đình có nguy cơ mắc bệnh rối loạn di truyền có thể không thể phát hiện ra tác hại tiềm tàng bên trong cơ thể vì không có thành viên nào trong gia đình có triệu chứng rối loạn quan sát được.	en: Sometimes a family with potential genetic disorder risk may not be able to detect the potential harm inside their bodies as none of their members reflect any observable disorder symptoms .
source: en: As a result , in the case that when one of the members happen to feel uncomfortable or unnormal , he or she should aware that whether the disorder in his or her body is a genetic risk or not . second: Do đó, trong trường hợp một trong hai người cảm thấy không thoải mái hoặc bất thường, họ cần nhận thức được liệu chứng rối loạn trong cơ thể họ có phải là do nguy cơ di truyền hay không.	en: As a result , in the case that when one of the members happen to feel uncomfortable or unnormal , he or she should aware that whether the disorder in his or her body is a genetic risk or not .
source: en: Afterward , the carrier will face a serious ethical issue , which is to reveal the problem to his or her relatives or not . second: Sau đó, người vận chuyển sẽ phải đối mặt với vấn đề đạo đức nghiêm trọng, đó là phải tiết lộ vấn đề cho người thân của họ hay không.	en: Afterward , the carrier will face a serious ethical issue , which is to reveal the problem to his or her relatives or not .
source: en: If the disorder symptoms reflect on a kid , the parent will be informed by the medics for sure , then the whole family will stay alert to their bodies ' condition . second: Nếu triệu chứng rối loạn phản ánh ở trẻ nhỏ, cha mẹ trẻ chắc chắn sẽ được bác sĩ thông báo, khi đó cả gia đình sẽ cảnh giác với tình trạng của cơ thể trẻ.	en: If the disorder symptoms reflect on a kid , the parent will be informed by the medics for sure , then the whole family will stay alert to their bodies ' condition .
source: en: On contrary , if the carrier is an adult , who has his own choice to choose whether to inform his or her relatives about the risk , that will be more complex . second: Ngược lại, nếu người vận chuyển là người lớn, người có quyền tự quyết định có nên thông báo cho người thân về rủi ro hay không, thì sẽ phức tạp hơn.	en: On contrary , if the carrier is an adult , who has his own choice to choose whether to inform his or her relatives about the risk , that will be more complex .
source: en: One may think that if the carrier is a caring person who loves his or her family more than himself , there is no doubt that he or she will tell his or her family about the issue . second: Người ta có thể nghĩ rằng nếu người vận chuyển là một người biết quan tâm, yêu thương gia đình nhiều hơn bản thân mình thì chắc chắn họ sẽ nói với gia đình về vấn đề này.	en: One may think that if the carrier is a caring person who loves his or her family more than himself , there is no doubt that he or she will tell his or her family about the issue .
source: en: That is true and of course it is the obligation of a family member to protect and take care of the family . second: Điều đó là đúng và tất nhiên đó là nghĩa vụ của một thành viên trong gia đình phải bảo vệ và chăm sóc gia đình.	en: That is true and of course it is the obligation of a family member to protect and take care of the family .
source: en: Think of the other way , if a child of the family knows that he has the risk to become a genetic risk carrier , and the risk might as well inherit to his child in the future , his whole life will be in a dilenma . second: Hãy nghĩ theo cách khác, nếu một đứa trẻ trong gia đình biết rằng nó có nguy cơ trở thành người mang mầm bệnh di truyền, và nguy cơ đó cũng có thể được thừa hưởng cho con cái của nó trong tương lai, thì cả cuộc đời nó sẽ bị giãn ra.	en: Think of the other way , if a child of the family knows that he has the risk to become a genetic risk carrier , and the risk might as well inherit to his child in the future , his whole life will be in a dilenma .
source: en: And of course , he or she will think of not having any child after getting married , and the same thought goes to the cousins as well . second: Và tất nhiên, anh ta hay cô ta sẽ nghĩ đến việc không có con sau khi kết hôn, và suy nghĩ tương tự cũng sẽ đi đến anh em họ.	en: And of course , he or she will think of not having any child after getting married , and the same thought goes to the cousins as well .
source: en: As a result , the family generation stops by the moment the adult carrier announces his issue . second: Kết quả là, thế hệ gia đình sẽ dừng lại khi người mang thai trưởng thành công bố vấn đề của mình.	en: As a result , the family generation stops by the moment the adult carrier announces his issue .
source: en: In China , the older generation with traditional culture background , will always think of having more children as well as grandchildren , to make the family liven up and stronger . second: Ở Trung Quốc, thế hệ lớn tuổi với nền văn hoá truyền thống sẽ luôn nghĩ đến việc có thêm con cái cũng như cháu chắt để làm cho gia đình sống động và mạnh mẽ hơn.	en: In China , the older generation with traditional culture background , will always think of having more children as well as grandchildren , to make the family liven up and stronger .
source: en: The reason behind is that after WOWII the population of China decreased dramatically and so the government encourage the people to give more birth . second: Lý do đằng sau là sau Thế chiến II dân số Trung Quốc giảm đáng kể và do đó chính phủ khuyến khích người dân sinh nhiều hơn.	en: The reason behind is that after WOWII the population of China decreased dramatically and so the government encourage the people to give more birth .
source: en: During that period , if one of the family member reflects genetic disorder symptoms , he will fell in an ethical dilenma for sure . second: Trong thời gian đó, nếu một thành viên trong gia đình có dấu hiệu rối loạn di truyền, chắc chắn anh ta sẽ bị suy giảm đạo đức.	en: During that period , if one of the family member reflects genetic disorder symptoms , he will fell in an ethical dilenma for sure .
source: en: The medical treatment technology during that time is not advanced enough to completely cure him . second: Công nghệ điều trị trong thời gian đó chưa đủ tiên tiến để chữa khỏi hoàn toàn cho anh ta.	en: The medical treatment technology during that time is not advanced enough to completely cure him .
source: en: He has to choose whether to protect his family or make his family more prosperity with a potential generic risk . second: Anh ta phải chọn giữa bảo vệ gia đình mình hay làm gia đình mình thịnh vượng hơn với những rủi ro chung tiềm tàng.	en: He has to choose whether to protect his family or make his family more prosperity with a potential generic risk .
source: en: And so , he would have chosen not to undergo generic disorder testing and let the truth be mined forever . second: Và vì thế, anh ta sẽ không trải qua kiểm tra rối loạn chung và để sự thật được khai thác mãi mãi.	en: And so , he would have chosen not to undergo generic disorder testing and let the truth be mined forever .
source: en: This kind of ethical issue can not be judged by the others because they will not understand the position and duty of the carrier in the family . second: Những người khác không thể phán xét vấn đề đạo đức này vì họ không hiểu được vị trí và trách nhiệm của người vận chuyển trong gia đình.	en: This kind of ethical issue can not be judged by the others because they will not understand the position and duty of the carrier in the family .
source: en: In conclude , people should think carefully of what is the consequences of telling the relatives his or her generic disorder issue . second: Tóm lại, mọi người nên suy nghĩ cẩn thận về hậu quả của việc nói với người thân về vấn đề rối loạn chung của họ.	en: In conclude , people should think carefully of what is the consequences of telling the relatives his or her generic disorder issue .
source: en: It is an obligation for a carrier to inform his relatives , but also an obligation for a family member to liven up the family . second: Người vận chuyển có nghĩa vụ thông báo cho thân nhân của mình, nhưng cũng có nghĩa vụ cho một thành viên trong gia đình làm cho gia đình vui lên.	en: It is an obligation for a carrier to inform his relatives , but also an obligation for a family member to liven up the family .
source: en: Regardlessly , if the disorder is rarely to be fatal , or it does not caused any inconvenience to the carrier , revealing the truth is always the right thing to do . second: Bất kể như thế nào, nếu chứng rối loạn này hiếm khi gây tử vong, hoặc nó không gây bất kỳ sự bất tiện nào cho người mang mầm bệnh, thì việc tiết lộ sự thật luôn là điều đúng đắn cần làm.	en: Regardlessly , if the disorder is rarely to be fatal , or it does not caused any inconvenience to the carrier , revealing the truth is always the right thing to do .
source: en: In my opinion , the carrier should tell his or her relatives about it . second: Theo ý tôi, người vận chuyển nên nói với người thân của mình về việc này.	en: In my opinion , the carrier should tell his or her relatives about it .
source: en: One of the reasons why is because as a carrier , she or he needs a mental support to go through with this situation . second: Một trong những lý do là vì là người mang mầm bệnh, họ cần sự hỗ trợ tinh thần để vượt qua tình huống này.	en: One of the reasons why is because as a carrier , she or he needs a mental support to go through with this situation .
source: en: It will be hard for an individual to deal with the issue on its own . second: Sẽ rất khó để một cá nhân tự mình giải quyết vấn đề.	en: It will be hard for an individual to deal with the issue on its own .
source: en: By telling to his or her family other than being a support , they could possibly help her to get alternative solutions to the problem that she is facing right now . second: Bằng cách nói chuyện với gia đình của người đó, họ có thể giúp họ tìm ra giải pháp thay thế cho vấn đề mà họ đang phải đối mặt.	en: By telling to his or her family other than being a support , they could possibly help her to get alternative solutions to the problem that she is facing right now .
source: en: Other than that , I believe that the stong bond we have with our family is the biggest pillar of support to the carrier . second: Ngoài ra, tôi tin rằng mối quan hệ bền chặt giữa chúng ta và gia đình là trụ cột lớn nhất trong sự ủng hộ người mang mầm bệnh.	en: Other than that , I believe that the stong bond we have with our family is the biggest pillar of support to the carrier .
source: en: Furthermore , as it is a genetic problem , it will be better for the carrier to inform his or her family as other family member might experience the same thing . second: Hơn nữa, vì đây là vấn đề di truyền, người mang mầm bệnh nên thông báo cho gia đình của họ vì những thành viên khác trong gia đình cũng có thể gặp phải tình trạng tương tự.	en: Furthermore , as it is a genetic problem , it will be better for the carrier to inform his or her family as other family member might experience the same thing .
source: en: By making sure that they are aware of this genetic problem , they could have a full check-up for themselves and it will be better if they could even prevent it from happening to themselves . second: Bằng cách đảm bảo rằng họ nhận thức được vấn đề di truyền này, họ có thể tự kiểm tra sức khoẻ toàn diện và sẽ tốt hơn nếu họ có thể ngăn chặn nó xảy ra với chính mình.	en: By making sure that they are aware of this genetic problem , they could have a full check-up for themselves and it will be better if they could even prevent it from happening to themselves .
source: en: I find that it is important to inform especially if it is contagious , the carrier could prevent the disease from spreading out to the society . second: Tôi nhận thấy rằng điều quan trọng là phải thông báo, đặc biệt nếu nó có khả năng lây lan, người mang mầm bệnh có thể ngăn chặn bệnh lây lan ra xã hội.	en: I find that it is important to inform especially if it is contagious , the carrier could prevent the disease from spreading out to the society .
source: en: For every action there is always pros and cons . second: Mỗi hành động luôn có mặt lợi và mặt hại.	en: For every action there is always pros and cons .
source: en: I believe that some of the carriers will choose to not reveal their disease to the family members as they do not want to make their family members worry and feel uncomfortable or even feel ostracized by them . second: Tôi tin rằng một số người mang mầm bệnh sẽ chọn không tiết lộ bệnh của họ cho các thành viên trong gia đình vì họ không muốn làm cho các thành viên trong gia đình họ lo lắng và cảm thấy khó chịu hoặc thậm chí cảm thấy bị họ tẩy chay.	en: I believe that some of the carriers will choose to not reveal their disease to the family members as they do not want to make their family members worry and feel uncomfortable or even feel ostracized by them .
source: en: Furthermore , as it could incur spending a lots of money for the treatment , the carrier might not want to be the burden in her family . second: Hơn nữa, vì phải tốn rất nhiều tiền cho việc điều trị nên người mang thai hộ có thể không muốn trở thành gánh nặng cho gia đình mình.	en: Furthermore , as it could incur spending a lots of money for the treatment , the carrier might not want to be the burden in her family .
source: en: I could understand the feeling of the carrier . second: Tôi có thể hiểu cảm giác của người mang nó.	en: I could understand the feeling of the carrier .
source: en: She or he does not want to be the source of unhappiness in thefamily . second: Cô ấy hoặc anh ấy không muốn là nguồn gốc của sự bất hạnh trong gia đình.	en: She or he does not want to be the source of unhappiness in thefamily .
source: en: However , we will never know whether this negative effects will happen when the carrier decide to tell his or her family of the his or her condition . second: Tuy nhiên, chúng ta sẽ không bao giờ biết được liệu những ảnh hưởng tiêu cực này có xảy ra khi người mang thai quyết định nói với gia đình về tình trạng của mình hay không.	en: However , we will never know whether this negative effects will happen when the carrier decide to tell his or her family of the his or her condition .
source: en: In conclusion , personally I feel that it is better for the carrier to inform her family members about the issue . second: Tóm lại, cá nhân tôi cảm thấy tốt hơn là người vận chuyển nên thông báo cho các thành viên trong gia đình về vấn đề này.	en: In conclusion , personally I feel that it is better for the carrier to inform her family members about the issue .
source: en: The carrier should be honest with his or her feeling and I find that it is the right of the family member to know what is going on to his or her life . second: Người mang mầm bệnh phải trung thực với cảm giác của mình và tôi thấy rằng thành viên gia đình có quyền được biết những gì đang xảy ra với cuộc sống của họ.	en: The carrier should be honest with his or her feeling and I find that it is the right of the family member to know what is going on to his or her life .
source: en: If anything wrong happened to the carrier 's life , without informing the family members it could make a huge regret in their life if she leaves without them knowing about it . second: Nếu có bất cứ điều gì không ổn xảy ra với cuộc sống của người vận chuyển, nếu không thông báo cho các thành viên trong gia đình, họ có thể sẽ hối tiếc rất nhiều nếu cô ta rời đi mà không cho họ biết.	en: If anything wrong happened to the carrier 's life , without informing the family members it could make a huge regret in their life if she leaves without them knowing about it .
source: en: On top of that , it is better to think about solutions for her problem with the family members as there are more heads to think about it rather than thinking about it alone and struggling on your own . second: Hơn nữa, tốt hơn hết là bạn nên suy nghĩ về giải pháp cho vấn đề của họ với các thành viên trong gia đình vì có nhiều vấn đề để suy nghĩ hơn là chỉ nghĩ về nó một mình và tự mình vật lộn với nó.	en: On top of that , it is better to think about solutions for her problem with the family members as there are more heads to think about it rather than thinking about it alone and struggling on your own .
source: en: In the end , I believe that the support in terms of mental or even monetary from your family could help the carrier to fight against the genetic disease . second: Cuối cùng, tôi tin rằng sự hỗ trợ về tinh thần hoặc thậm chí là tiền bạc từ gia đình bạn có thể giúp người mang mầm bệnh chống lại căn bệnh di truyền này.	en: In the end , I believe that the support in terms of mental or even monetary from your family could help the carrier to fight against the genetic disease .
source: en: True enough that there are lots of cancer 's patient who were given second choice to live as a normal person as they have a strong mental support from their loved one . second: Đúng là có rất nhiều bệnh nhân ung thư được lựa chọn thứ hai để sống như một người bình thường vì họ có sự hỗ trợ tinh thần mạnh mẽ từ người thân yêu của họ.	en: True enough that there are lots of cancer 's patient who were given second choice to live as a normal person as they have a strong mental support from their loved one .
source: en: In my opinion , as long as we keep our mind healthy and strong , we can fight any disease as they come to us when we are fragile and weak . second: Theo ý tôi, chỉ cần tâm chúng ta được khoẻ mạnh, chúng ta có thể chống lại bất cứ căn bệnh nào khi chúng đến với chúng ta khi chúng ta yếu ớt và mong manh.	en: In my opinion , as long as we keep our mind healthy and strong , we can fight any disease as they come to us when we are fragile and weak .
source: en: As the techonology has been advancing , it has reached a stage whereby the advancement triggers some ethical dilemmas in relation to the acutual use of the techonology . second: Khi công nghệ âm thanh đã tiến bộ, nó đã đạt đến một giai đoạn mà sự tiến bộ gây ra một số tình thế khó xử về đạo đức liên quan đến việc sử dụng công nghệ âm thanh một cách có tính toán.	en: As the techonology has been advancing , it has reached a stage whereby the advancement triggers some ethical dilemmas in relation to the acutual use of the techonology .
source: en: Genetic testing has been made possible- it has become easy to tell if one is a carrier of a known genetic risk through genetic testing . second: Xét nghiệm di truyền đã được thực hiện-thông qua xét nghiệm di truyền, người ta có thể dễ dàng nhận biết người mang nguy cơ di truyền đã biết.	en: Genetic testing has been made possible- it has become easy to tell if one is a carrier of a known genetic risk through genetic testing .
source: en: If used for a good purpose , it can prevent unnecessary unhappiness , however , it could also make situation worse by revealing who the carrier is , in the family . second: Nếu được sử dụng với mục đích tốt, nó có thể ngăn chặn những bất hạnh không cần thiết, tuy nhiên, nó cũng có thể làm tình hình tồi tệ hơn khi tiết lộ người mang mầm bệnh là ai, trong gia đình bạn.	en: If used for a good purpose , it can prevent unnecessary unhappiness , however , it could also make situation worse by revealing who the carrier is , in the family .
source: en: The question given is whether a carrier of a known genetic risk should be obligated to tell his or her relatives and I think that the carrier should not be obligated to do so because I belive that he or she has right not to know . second: Câu hỏi đặt ra là liệu người mang mầm bệnh di truyền đã biết có phải buộc phải nói với người thân của mình hay không và tôi nghĩ rằng người mang mầm bệnh không nên buộc phải làm như vậy bởi vì tôi tin rằng anh ta hoặc cô ta có quyền không được biết.	en: The question given is whether a carrier of a known genetic risk should be obligated to tell his or her relatives and I think that the carrier should not be obligated to do so because I belive that he or she has right not to know .
source: en: Firstly , genetic testing is not something that is compulsory . second: Thứ nhất, xét nghiệm di truyền không phải là việc bắt buộc.	en: Firstly , genetic testing is not something that is compulsory .
source: en: Of course , some people may do it to make their futures slightly happier , however , the carrier , before the testing , can choose not to go for the test and simply live with unknowns and accept the facts . second: Tất nhiên, một số người có thể làm điều đó để tương lai của họ hạnh phúc hơn một chút, tuy nhiên, người mang mầm bệnh, trước khi thử nghiệm, có thể chọn không đi thử nghiệm và chỉ đơn giản sống với những điều không biết và chấp nhận sự thật.	en: Of course , some people may do it to make their futures slightly happier , however , the carrier , before the testing , can choose not to go for the test and simply live with unknowns and accept the facts .
source: en: If he chooses to live in the uncertainty that the gene holds and willing to accept it , he could do that , and it has been something that is 'normal ' to everyone in the past as gentic testing was not possible . second: Nếu anh ta chọn sống trong sự không chắc chắn mà gen này nắm giữ và sẵn sàng chấp nhận nó, anh ta có thể làm điều đó, và đó là điều " bình thường " đối với mọi người trong quá khứ vì xét nghiệm gentic là không thể.	en: If he chooses to live in the uncertainty that the gene holds and willing to accept it , he could do that , and it has been something that is 'normal ' to everyone in the past as gentic testing was not possible .
source: en: It could rather be better for him or her this way . second: Có lẽ như thế này sẽ tốt hơn cho anh ấy hay cô ấy.	en: It could rather be better for him or her this way .
source: en: Some people might say that it is a form of prevention of giving birth to disabled lives and making them suffer in real-life . second: Một số người có thể nói rằng đó là một hình thức ngăn ngừa việc sinh ra những cuộc sống tàn tật và khiến họ phải chịu đựng trong thực tế.	en: Some people might say that it is a form of prevention of giving birth to disabled lives and making them suffer in real-life .
source: en: I personally think this ist he right purpose of going through the genetic testing , so that a family who can not afford to have a disabled kid do not have to give birth to their child and make the entire family suffer . second: Cá nhân tôi nghĩ rằng mục đích của việc xét nghiệm di truyền là đúng đắn, để một gia đình không có khả năng nuôi một đứa trẻ tàn tật không phải sinh con và khiến cả gia đình phải chịu đựng.	en: I personally think this ist he right purpose of going through the genetic testing , so that a family who can not afford to have a disabled kid do not have to give birth to their child and make the entire family suffer .
source: en: However , I belive that the carrier has right not to obligate to tell anyone but has responsibility to take an action to prevent any ethical dilemma . second: Tuy nhiên, tôi tin rằng người vận chuyển có quyền không bắt buộc phải nói với bất kỳ ai nhưng có trách nhiệm thực hiện hành động để ngăn chặn bất kỳ tình thế tiến thoái lưỡng nan về đạo đức nào.	en: However , I belive that the carrier has right not to obligate to tell anyone but has responsibility to take an action to prevent any ethical dilemma .
source: en: If the result turned out something that the carrier can not accept then it would have been better not knowing the truth . second: Nếu kết quả là một điều gì đó mà người vận chuyển không thể chấp nhận thì tốt hơn hết là không nên biết sự thật.	en: If the result turned out something that the carrier can not accept then it would have been better not knowing the truth .
source: en: I belive that even the carrier has the right not to know the true fact . second: Tôi tin rằng ngay cả người vận chuyển cũng có quyền không được biết sự thật.	en: I belive that even the carrier has the right not to know the true fact .
source: en: After realizing the he or she is tshe carrier , the emotional damage would be hard to bear . second: Sau khi nhận ra người đó là người mang mầm bệnh, tổn thương về tinh thần sẽ rất khó chịu đựng.	en: After realizing the he or she is tshe carrier , the emotional damage would be hard to bear .
source: en: It could possibly causes a problem in a family due to the fact and creates more unhappiness int the family . second: Nó có thể gây ra vấn đề trong gia đình và gây thêm bất hạnh cho gia đình.	en: It could possibly causes a problem in a family due to the fact and creates more unhappiness int the family .
source: en: Overall , I belive that it entirely depends on the carrier to share the hard facts and face it with relatives but he has no obligation to tell still . second: Nhìn chung, tôi tin rằng việc người vận chuyển chia sẻ những sự thật khó khăn và đối mặt với nó với người thân là hoàn toàn phụ thuộc vào họ, nhưng họ vẫn không có nghĩa vụ phải nói ra.	en: Overall , I belive that it entirely depends on the carrier to share the hard facts and face it with relatives but he has no obligation to tell still .
source: en: In fact , I strongly think that the carrier should weigh both the positive and negative consequences of taking the genetic testing and tak an appropriate action to the results . second: Trên thực tế, tôi hoàn toàn nghĩ rằng người mang mầm bệnh nên cân nhắc cả hậu quả tích cực lẫn tiêu cực của việc thực hiện xét nghiệm di truyền và có hành động thích hợp để có được kết quả.	en: In fact , I strongly think that the carrier should weigh both the positive and negative consequences of taking the genetic testing and tak an appropriate action to the results .
source: en: The emotional depression that the carrier might get and the sense of guilty can be more than expected and could be a burden in mind for the rest of the life . second: Cảm giác trầm cảm mà người mang mầm bệnh có thể phải chịu đựng và cảm giác tội lỗi có thể lớn hơn mong đợi và có thể là gánh nặng trong tâm trí bạn trong suốt quãng đời còn lại.	en: The emotional depression that the carrier might get and the sense of guilty can be more than expected and could be a burden in mind for the rest of the life .
source: en: On the other hand , without knowing any genetic disorder and accepting the fact , the family will stay positive and work together to overcome the diability . second: Mặt khác, nếu không biết về bất kỳ rối loạn di truyền nào và chấp nhận sự thật này, gia đình bạn sẽ luôn lạc quan và cùng nhau nỗ lực để vượt qua sự bất ổn.	en: On the other hand , without knowing any genetic disorder and accepting the fact , the family will stay positive and work together to overcome the diability .
source: en: I think the family will stay mentally healty as it is , without having emtional stress . second: Tôi nghĩ gia đình sẽ vẫn giữ được tinh thần trung thành như hiện nay, mà không bị căng thẳng tinh thần.	en: I think the family will stay mentally healty as it is , without having emtional stress .
source: en: Debates have been around for years , that should a carrier for a known genetic risk be obligated to inform his or her relatives . second: Đã có những tranh cãi trong nhiều năm, liệu một người mang mầm bệnh cho một nguy cơ di truyền đã biết có phải thông báo cho người thân của mình không.	en: Debates have been around for years , that should a carrier for a known genetic risk be obligated to inform his or her relatives .
source: en: Any individual at risk for a disorder has the right to undergo genetic testing , but whether the results should be informed to others , especially close family or relatives , is the topic that worth discussing . second: Bất kỳ cá nhân nào có nguy cơ mắc chứng rối loạn đều có quyền được xét nghiệm di truyền, nhưng liệu kết quả xét nghiệm có nên được thông báo cho người khác, đặc biệt là gia đình hoặc người thân, hay không, là chủ đề đáng để thảo luận.	en: Any individual at risk for a disorder has the right to undergo genetic testing , but whether the results should be informed to others , especially close family or relatives , is the topic that worth discussing .
source: en: This is an issue need to be addressed as family-related ethical dilemma is involved . second: Đây là một vấn đề cần được giải quyết vì có liên quan đến tình trạng đạo đức khó xử liên quan đến gia đình.	en: This is an issue need to be addressed as family-related ethical dilemma is involved .
source: en: In this essay , few arguments will be pointed out in the support of view for any carrier of that known genetic risk to tell his or her relatives . second: Trong bài viết này, sẽ chỉ có một vài lập luận ủng hộ quan điểm cho rằng bất cứ ai mang nguy cơ di truyền đã biết đó phải nói với người thân của mình.	en: In this essay , few arguments will be pointed out in the support of view for any carrier of that known genetic risk to tell his or her relatives .
source: en: When we were born , we were surrounded by our family and relatives , with them welcoming us to this new world . second: Khi chúng tôi được sinh ra, chúng tôi được bao quanh bởi gia đình và họ hàng, họ chào đón chúng tôi đến thế giới mới này.	en: When we were born , we were surrounded by our family and relatives , with them welcoming us to this new world .
source: en: We were crying hard but we are not alone , it 's our family and relatives that grow us up . second: Chúng tôi đã khóc rất nhiều nhưng không chỉ có một mình, chính gia đình và người thân đã nuôi nấng chúng tôi.	en: We were crying hard but we are not alone , it 's our family and relatives that grow us up .
source: en: Hence , they should be the people be grateful for and the people we would like to share the joy together . second: Vì vậy, họ nên là những người mà chúng ta biết ơn và muốn cùng chia sẻ niềm vui với nhau.	en: Hence , they should be the people be grateful for and the people we would like to share the joy together .
source: en: However , in the case pertaining to any health issue or to the extent of serious disorder , it may seems no point of sharing but this involves more than just sharing of bad news . second: Tuy nhiên, trong trường hợp liên quan đến bất kỳ vấn đề sức khoẻ hoặc mức độ rối loạn nghiêm trọng, có vẻ như không có ý nghĩa gì khi chia sẻ nhưng điều này không chỉ bao gồm việc chia sẻ tin xấu.	en: However , in the case pertaining to any health issue or to the extent of serious disorder , it may seems no point of sharing but this involves more than just sharing of bad news .
